Table 1
Date,index_level,,,,,,,,
3/28/22,640.85,,,,,,,,
3/29/22,638.56,,,,,,,,
3/30/22,645.62,,,,,,,,
3/31/22,636.97,,,,,,,,
4/1/22,643.13,,,,,,,,
4/4/22,644.14,,,,,,,,
4/5/22,633.99,,,,,,,,
4/6/22,636.67,,,,,,,,
4/7/22,644.56,,,,,,,,
4/8/22,661.27,,,,,,,,
4/11/22,641.38,,,,,,,,
4/12/22,651.86,,,,,,,,
4/13/22,660.86,,,,,,,,
4/14/22,663.64,,,,,,,,
4/18/22,673.68,,,,,,,,
4/19/22,667.87,,,,,,,,
4/20/22,670.61,,,,,,,,
4/21/22,649.18,,,,,,,,
4/22/22,633.12,,,,,,,,
4/25/22,612.69,,,,,,,,
4/26/22,613.07,,,,,,,,
4/27/22,622.03,,,,,,,,
4/28/22,640.64,,,,,,,,
4/29/22,624.51,,,,,,,,
5/2/22,632.67,,,,,,,,
5/3/22,651.01,,,,,,,,
5/4/22,677.69,,,,,,,,
5/5/22,667.21,,,,,,,,
5/6/22,685.08,,,,,,,,
5/9/22,627.69,,,,,,,,
5/10/22,632.39,,,,,,,,
5/11/22,639.88,,,,,,,,
5/12/22,640.33,,,,,,,,
5/13/22,662.28,,,,,,,,
5/16/22,678.68,,,,,,,,
5/17/22,687.52,,,,,,,,
5/18/22,668.45,,,,,,,,
5/19/22,666.58,,,,,,,,
5/20/22,669.42,,,,,,,,
5/23/22,687.17,,,,,,,,
5/24/22,689.41,,,,,,,,
5/25/22,703.68,,,,,,,,
5/26/22,712.12,,,,,,,,
5/27/22,724.76,,,,,,,,
5/31/22,713.06,,,,,,,,
6/1/22,725.84,,,,,,,,
6/2/22,724.52,,,,,,,,
6/3/22,733.85,,,,,,,,
6/6/22,733.31,,,,,,,,
6/7/22,756.51,,,,,,,,
6/8/22,756.41,,,,,,,,
6/9/22,738.63,,,,,,,,
6/10/22,725.91,,,,,,,,
6/13/22,688.01,,,,,,,,
6/14/22,688,,,,,,,,
6/15/22,674.45,,,,,,,,
6/16/22,636.99,,,,,,,,
6/17/22,603.45,,,,,,,,
6/21/22,634.15,,,,,,,,
6/22/22,607.63,,,,,,,,
6/23/22,585.8,,,,,,,,
6/24/22,595.24,,,,,,,,
6/27/22,611.94,,,,,,,,
6/28/22,628.07,,,,,,,,
6/29/22,607.01,,,,,,,,
6/30/22,594.84,,,,,,,,
7/1/22,603.02,,,,,,,,
7/5/22,579.38,,,,,,,,
7/6/22,568.86,,,,,,,,
7/7/22,590.02,,,,,,,,
7/8/22,589.79,,,,,,,,
7/11/22,583.99,,,,,,,,
7/12/22,572.52,,,,,,,,
7/13/22,572.06,,,,,,,,
7/14/22,561.89,,,,,,,,
7/15/22,571.53,,,,,,,,
7/18/22,583.07,,,,,,,,
7/19/22,601.75,,,,,,,,
7/20/22,608.45,,,,,,,,
7/21/22,598.88,,,,,,,,
7/22/22,593.26,,,,,,,,
7/25/22,615.42,,,,,,,,
7/26/22,610.7,,,,,,,,
7/27/22,624.23,,,,,,,,
7/28/22,628.35,,,,,,,,
7/29/22,655.94,,,,,,,,
8/1/22,642.04,,,,,,,,
8/2/22,641.2,,,,,,,,
8/3/22,623.52,,,,,,,,
8/4/22,601.83,,,,,,,,
8/5/22,614.15,,,,,,,,
8/8/22,617.47,,,,,,,,
8/9/22,628.1,,,,,,,,
8/10/22,633.86,,,,,,,,
8/11/22,653.44,,,,,,,,
8/12/22,659.04,,,,,,,,
8/15/22,646.64,,,,,,,,
8/16/22,644.77,,,,,,,,
8/17/22,649.43,,,,,,,,
8/18/22,665.89,,,,,,,,
8/19/22,664.95,,,,,,,,
8/22/22,663.24,,,,,,,,
8/23/22,686.06,,,,,,,,
8/24/22,694.82,,,,,,,,
8/25/22,700.31,,,,,,,,
8/26/22,692.69,,,,,,,,
8/29/22,702.5,,,,,,,,
8/30/22,678.94,,,,,,,,
8/31/22,673.5,,,,,,,,
9/1/22,658.06,,,,,,,,
9/2/22,670.15,,,,,,,,
9/6/22,662.63,,,,,,,,
9/7/22,656.01,,,,,,,,
9/8/22,659.99,,,,,,,,
9/9/22,675.32,,,,,,,,
9/12/22,687.01,,,,,,,,
9/13/22,670.55,,,,,,,,
9/14/22,690.19,,,,,,,,
9/15/22,672.93,,,,,,,,
9/16/22,658.14,,,,,,,,
9/19/22,659.32,,,,,,,,
9/20/22,654.64,,,,,,,,
9/21/22,644.82,,,,,,,,
9/22/22,641.19,,,,,,,,
9/23/22,597.81,,,,,,,,
9/26/22,581.61,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
